id,ime,letnica_rojstva,drzava_rojstva,stevilo_iger_v_bazi,zacetek,konec,zmage,porazi,remiji,delez_zmag,kvaliteta
76911,M Varini,1967,Italy,15,1999,2005,5,7,3,43.3,2033
41384,M Al-Modiahki,1974,Qatar,410,1988,2017,134,104,104,54.4,2542
47361,Tin Htun Zaw,1974,Myanmar,14,1999,1999,2,7,5,32.1,2142
11661,R Slobodjan,1975,Germany,201,1991,2011,62,42,95,55.0,2457
14571,Ramesh,1976,India,215,1994,2010,72,58,85,53.3,2472
57526,T Hamilton,1960,United States of America,6,1997,2005,1,4,1,25.0,1788
11283,D Koenig,1977,United States of America,21,1991,2002,8,8,5,50.0,2263
11388,T Polin,,,1,1999,1999,,,,,
86655,T Assmann,1959,Germany,7,1981,2000,0,4,3,21.4,2335
70986,M Scacco,1957,Italy,15,1990,2004,4,7,4,40.0,1908
90818,J M Le Roux,,,1,1999,1999,,,,,
93753,M Mankinen,,,1,1999,1999,,,,,
90824,J Gronemann,1962,Germany,4,1999,1999,1,2,1,37.5,1832
90384,V Baklanov,1940,Russia,15,1998,2000,8,2,5,70.0,
90826,D Gutsche,,,62,1999,2004,21,10,31,58.9,
90324,R Sielaff,1931,Germany,7,1998,2001,4,1,2,71.4,1884
10089,D K Dunn,1944,United States of America,5,1988,2011,0,4,1,10.0,1981
90823,S Rettieck,1968,Germany,2,1999,1999,,,,,2097
105424,S Teichmeister,1940,Austria,72,1984,2004,23,11,38,58.3,1878
108361,F Acosta Ruiz,,,1,1999,1999,,,,,
90152,H Bross,1964,Germany,63,1999,2013,14,2,47,59.5,
90153,Y Dothan,1955,Israel,56,1999,2011,12,9,35,52.7,
108663,A Hoffmann,,,16,1999,1999,8,0,8,75.0,2024
105403,H John,,,14,1994,1999,0,9,5,17.9,
14180,L Sandstrom,1965,Sweden,12,1984,2005,4,6,2,41.7,2344
108345,M Traeger,,,20,1999,2001,8,5,7,57.5,
90159,H Onoda,,,26,1998,2001,7,4,15,55.8,
80055,J Watson,1949,United Kingdom,11,1997,1999,2,8,1,22.7,
90234,O Uralde,,,16,1999,2001,4,7,5,40.6,
133049,T Dougherty,1982,United Kingdom,1,1999,1999,,,,,2075
48994,R Pert,1981,United Kingdom,236,1997,2019,84,44,92,59.1,2416
56798,M Vachier-Lagrave,1990,France,"2,663",1998,2020,599,189,807,62.9,2778
50251,E Bonnet,1989,France,35,1999,2002,14,12,5,53.2,2350
40770,P Kolar,1973,Czech Republic,6,1994,1999,1,2,3,41.7,2156
93688,J S FeBland,1960,United Kingdom,4,1999,1999,2,1,1,62.5,
11706,C Renner,1967,Germany,109,1986,2017,33,56,18,39.3,2313
83411,I A Kopylov,1939,Russia,29,1981,2002,8,4,17,56.9,
106520,S Kofidis,1960,Greece,17,1998,1999,3,11,3,26.5,2139
117239,A Volchok,1935,Ukraine,18,1999,1999,2,5,11,41.7,
37280,Brzozka,1931,Poland,64,1953,1999,9,35,20,29.7,
73890,R Mathieu,1981,France,1,1999,1999,,,,,1985
38689,L Roos,1957,France,107,1976,2015,30,58,19,36.9,2298
89779,P Koc,1978,Poland,3,1998,1999,,,,,2346
11479,M Devereaux,1976,United Kingdom,161,1997,2018,55,49,57,51.9,2348
11508,P Mercs,1962,United Kingdom,16,1999,2013,3,9,4,31.2,2074
10815,A Somev,,,29,1999,2001,13,15,1,46.6,2092
10809,Samer Mourad,,,11,1999,1999,3,7,1,31.8,
10915,Nisipeanu,,,"1,077",1992,2019,332,122,573,60.2,2655
12183,Ivanchuk,,,"3,846",1983,2020,853,297,1309,61.3,2678
11590,A Toth,1981,Hungary,38,1998,2008,16,12,10,55.3,2377
68213,C Guerra Costa,1992,Portugal,3,1998,2001,,,,,1692
70171,P Schausten,1953,Germany,2,1999,1999,,,,,2000
146021,J Stus,,,1,1999,1999,,,,,
90289,M C Nicholls,,,39,1996,2000,8,16,15,39.7,
93756,M Celestini,,,2,1999,1999,,,,,
