indeks_igre,prvi_igralec,prvi_id,drugi_igralec,drugi_id,izid,stevilo_potez,leto,kraj,odprtje_neka_stevilka,odprtje
1843873,Khaled Khalifah,154396,Marc Andria Maurizzi,156291,0-1,9,2016,World Cadets U12</a>,A45,Queen's Pawn Game
1844023,Vasily Kobets,156551,Yakov Sagalovich,156593,0-1,12,2016,World Cadets U12</a>,B13,"Caro-Kann, Exchange"
1843978,Sirin El Anis,156439,Ana Megreladze,156456,0-1,15,2016,World Cadets U12</a>,B52,"Sicilian, Canal-Sokolsky (Rossolimo) Attack"
1855522,A V Kovalev,14058,W Pueschel,134382,1-0,7,2016,Lichtenrader Herbst,C41,Philidor Defense
1844369,Stepan Tetyuev,156558,G Baszczynski,156487,1-0,11,2016,World Cadets U12</a>,B21,"Sicilian, 2.f4 and 2.d4"
1844355,Kerem Erten,156518,Bayar Ider,156570,1-0,13,2016,World Cadets U12</a>,B01,Scandinavian
1844190,Sofia Bellahcene,156218,Nevena Djordjevic,156172,0-1,12,2016,World Cadets U12</a>,C28,Vienna Game
1844093,Francesco Bettalli,156077,Sarin Nihal,151598,0-1,14,2016,World Cadets U12</a>,E14,Queen's Indian
1844753,Alan Kazhenov,156483,Luka Panchulidze,156575,1-0,14,2016,World Cadets U12</a>,C28,Vienna Game
1844661,Lucia Sevcikova,156421,Leyla Guliyeva,156394,1-0,15,2016,World Cadets U12</a>,B33,Sicilian
1844514,G Svanidze,156106,Alexandre Charles Ayoub,156114,0-1,11,2016,World Cadets U12</a>,D02,Queen's Pawn Game
1844722,Bayar Ider,156570,Rudolf Pashikyan,156510,0-1,11,2016,World Cadets U12</a>,D35,Queen's Gambit Declined
1844757,Ivan Popov,103331,Yvan Burdot,156507,0-1,15,2016,World Cadets U12</a>,A02,Bird's Opening
1845386,F Ziuzin,156697,Grigol Bechvaia,156499,0-1,15,2016,World Cadets U12</a>,B06,Robatsch
1845162,Atai Shatenov,156130,Konsta Jaakkola,156081,0-1,15,2016,World Cadets U12</a>,E46,Nimzo-Indian
1845412,Kai Tatsumi,156595,Lubana Holestiakova,156536,1-0,15,2016,World Cadets U12</a>,C47,Four Knights
1845379,Mikhail Kalashnikov,156585,Mahammadbaghir Huseynli,156543,0-1,10,2016,World Cadets U12</a>,B60,"Sicilian, Richter-Rauzer"
1845771,Luka Panchulidze,156575,Lubana Holestiakova,156536,1-0,6,2016,World Cadets U12</a>,C50,Giuoco Piano
1845499,Sevak N Manukyan,156068,Ernest Misiuk,156027,1-0,13,2016,World Cadets U12</a>,E94,"King's Indian, Orthodox"
